{{dist=-1, rng=-1}
{dist=319.19685368925, rng=38309}
{dist=319.19685368925, rng=41372}
{dist=319.19685368925, rng=39030}
{dist=319.19685368925, rng=32894}
{dist=319.19685368925, rng=36487}
{dist=319.19685368925, rng=33093}
{dist=319.19685368925, rng=36289}
{dist=319.19685368925, rng=32975}
{dist=319.19685368925, rng=37920}
{dist=319.19685368925, rng=35748}
{dist=361.76001710672, rng=52050}
{dist=361.76001710672, rng=34127}
{dist=361.76001710672, rng=44307}
{dist=361.76001710672, rng=52322}
{dist=361.76001710672, rng=38194}
{dist=379.86673457859, rng=40968}
{dist=379.86673457859, rng=61832}
{dist=379.86673457859, rng=45330}
{dist=379.86673457859, rng=46703}
{dist=379.86673457859, rng=49581}
{dist=379.86673457859, rng=58265}
{dist=381.43494836153, rng=52745}
{dist=398.72329875583, rng=36198}
{dist=398.72329875583, rng=32888}
{dist=398.72329875583, rng=33258}
{dist=425.2483114403, rng=54112}
{dist=445.43142841136, rng=37864}
{dist=472.26621438544, rng=33382}
{dist=483.71194359102, rng=45578}
{dist=490.69910208188, rng=64084}
{dist=490.69910208188, rng=48196}
{dist=490.69910208188, rng=49740}
{dist=490.69910208188, rng=50815}
{dist=490.69910208188, rng=46372}
{dist=490.69910208188, rng=51831}
{dist=490.69910208188, rng=54808}
{dist=515.62820202382, rng=49297}
{dist=515.62820202382, rng=41650}
{dist=515.62820202382, rng=45807}
{dist=551.65868946163, rng=59021}
{dist=551.65868946163, rng=58637}
{dist=551.65868946163, rng=61663}
{dist=551.65868946163, rng=34488}
{dist=551.65868946163, rng=64574}
{dist=551.65868946163, rng=57690}
{dist=551.65868946163, rng=56648}
{dist=551.65868946163, rng=64151}
{dist=551.65868946163, rng=38984}
{dist=551.65868946163, rng=34244}
{dist=551.65868946163, rng=36059}
{dist=551.65868946163, rng=55470}
{dist=551.65868946163, rng=56376}
{dist=551.65868946163, rng=39988}
{dist=551.65868946163, rng=50563}
{dist=551.65868946163, rng=62901}
{dist=551.65868946163, rng=41617}
{dist=551.65868946163, rng=50118}
{dist=551.65868946163, rng=65323}
{dist=551.65868946163, rng=52428}
{dist=551.65868946163, rng=60426}
{dist=558.11975523139, rng=51128}
{dist=558.11975523139, rng=38720}
{dist=558.11975523139, rng=50787}
{dist=558.11975523139, rng=60698}
{dist=558.11975523139, rng=49938}
{dist=558.11975523139, rng=38314}
{dist=558.11975523139, rng=59029}
{dist=558.11975523139, rng=38421}
{dist=558.11975523139, rng=34230}
{dist=558.11975523139, rng=34007}
{dist=558.11975523139, rng=62442}
{dist=558.11975523139, rng=63060}
{dist=558.11975523139, rng=57801}
{dist=558.11975523139, rng=57204}
{dist=558.11975523139, rng=39928}
{dist=558.11975523139, rng=47531}
{dist=558.11975523139, rng=47528}
{dist=558.11975523139, rng=45695}
{dist=558.11975523139, rng=44033}
{dist=558.11975523139, rng=45092}
{dist=558.11975523139, rng=46422}
{dist=558.11975523139, rng=33833}
{dist=558.11975523139, rng=62957}
{dist=558.11975523139, rng=46878}
{dist=558.11975523139, rng=33406}
{dist=558.11975523139, rng=62180}
{dist=558.11975523139, rng=40689}
{dist=558.11975523139, rng=37531}
{dist=558.11975523139, rng=39360}
{dist=558.11975523139, rng=61978}
{dist=558.11975523139, rng=61794}
{dist=558.11975523139, rng=41061}
{dist=558.11975523139, rng=33514}
{dist=558.11975523139, rng=41345}
{dist=643.20504078269, rng=40457}
{dist=708.08597751478, rng=56627}
{dist=708.08597751478, rng=45366}
{dist=708.08597751478, rng=63920}
{dist=708.08597751478, rng=36217}
{dist=708.08597751478, rng=42709}
{dist=708.08597751478, rng=42823}
{dist=708.08597751478, rng=59972}
{dist=708.08597751478, rng=61599}
{dist=708.08597751478, rng=47016}
{dist=708.08597751478, rng=33299}
{dist=708.08597751478, rng=49767}
{dist=708.08597751478, rng=46369}
{dist=708.08597751478, rng=53427}
{dist=708.08597751478, rng=39367}
{dist=708.08597751478, rng=49520}
{dist=708.08597751478, rng=39850}
{dist=708.08597751478, rng=49839}
